wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776723019.113,room_02,1776723019.107,1776723019.11,1776723019.113,6.22,3.19,3.031,room_alerts_mp
1776723020.117,room_03,1776723020.109,1776723020.114,1776723020.117,7.816,4.63,3.184,room_alerts_mp
1776723021.115,room_04,1776723021.111,1776723021.112,1776723021.115,4.003,1.7,2.307,room_alerts_mp
1776723022.119,room_05,1776723022.112,1776723022.117,1776723022.119,7.543,4.99,2.557,room_alerts_mp
1776723023.118,room_06,1776723023.114,1776723023.116,1776723023.118,3.759,2.28,1.48,room_alerts_mp
1776723024.121,room_07,1776723024.115,1776723024.119,1776723024.121,5.785,3.71,2.07,room_alerts_mp
1776723025.129,room_08,1776723025.118,1776723025.126,1776723025.129,10.291,7.49,2.798,room_alerts_mp
1776723026.13,room_09,1776723026.124,1776723026.127,1776723026.13,5.657,2.66,2.993,room_alerts_mp
1776723027.137,room_10,1776723027.128,1776723027.136,1776723027.137,8.912,7.31,1.603,room_alerts_mp
1776723028.137,room_11,1776723028.13,1776723028.134,1776723028.137,6.766,4.52,2.245,room_alerts_mp
1776723029.137,room_12,1776723029.132,1776723029.136,1776723029.137,4.913,3.74,1.17,room_alerts_mp
1776723030.138,room_13,1776723030.134,1776723030.136,1776723030.138,3.594,1.69,1.908,room_alerts_mp
1776723031.145,room_14,1776723031.136,1776723031.142,1776723031.145,8.077,5.94,2.134,room_alerts_mp
1776723032.145,room_15,1776723032.138,1776723032.143,1776723032.145,6.453,4.85,1.602,room_alerts_mp
1776723033.152,room_01,1776723033.145,1776723033.15,1776723033.152,7.332,5.25,2.079,room_alerts_mp
1776723034.153,room_02,1776723034.146,1776723034.151,1776723034.153,7.329,5.2,2.124,room_alerts_mp
1776723035.159,room_03,1776723035.152,1776723035.157,1776723035.159,7.229,5.17,2.055,room_alerts_mp
1776723036.159,room_04,1776723036.154,1776723036.156,1776723036.159,4.328,2.03,2.298,room_alerts_mp
1776723037.163,room_05,1776723037.156,1776723037.16,1776723037.163,7.091,4.81,2.276,room_alerts_mp
