wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776759725.198,room_07,1776759725.195,1776759725.196,1776759725.198,3.405,1.69,1.719,room_alerts_mp
1776759726.211,room_08,1776759726.197,1776759726.199,1776759726.211,14.053,2.23,11.826,room_alerts_mp
1776759727.204,room_09,1776759727.198,1776759727.202,1776759727.204,5.664,4.14,1.526,room_alerts_mp
1776759728.202,room_10,1776759728.199,1776759728.201,1776759728.202,3.115,1.71,1.407,room_alerts_mp
1776759729.204,room_11,1776759729.2,1776759729.201,1776759729.204,3.878,1.71,2.165,room_alerts_mp
1776759730.205,room_12,1776759730.201,1776759730.203,1776759730.205,3.769,1.97,1.803,room_alerts_mp
1776759731.21,room_13,1776759731.203,1776759731.206,1776759731.21,6.487,3.25,3.24,room_alerts_mp
1776759732.224,room_14,1776759732.206,1776759732.211,1776759732.224,18.087,5.31,12.775,room_alerts_mp
1776759733.212,room_15,1776759733.207,1776759733.21,1776759733.212,4.678,2.91,1.773,room_alerts_mp
1776759734.212,room_01,1776759734.208,1776759734.21,1776759734.212,3.561,1.58,1.985,room_alerts_mp
1776759735.215,room_02,1776759735.211,1776759735.213,1776759735.215,3.245,1.57,1.679,room_alerts_mp
1776759736.217,room_03,1776759736.213,1776759736.215,1776759736.217,4.239,2.05,2.191,room_alerts_mp
1776759737.217,room_04,1776759737.214,1776759737.216,1776759737.217,3.137,1.77,1.369,room_alerts_mp
1776759738.22,room_05,1776759738.216,1776759738.219,1776759738.22,4.268,2.91,1.358,room_alerts_mp
1776759739.222,room_06,1776759739.217,1776759739.221,1776759739.222,5.237,3.66,1.579,room_alerts_mp
1776759740.221,room_07,1776759740.218,1776759740.22,1776759740.221,3.11,1.67,1.441,room_alerts_mp
1776759741.226,room_08,1776759741.219,1776759741.224,1776759741.226,6.474,4.47,2.0,room_alerts_mp
1776759742.226,room_09,1776759742.22,1776759742.224,1776759742.226,6.033,4.35,1.679,room_alerts_mp
1776759743.227,room_10,1776759743.221,1776759743.224,1776759743.227,5.872,3.35,2.519,room_alerts_mp
1776759744.224,room_11,1776759744.221,1776759744.223,1776759744.224,3.03,1.45,1.576,room_alerts_mp
1776759745.227,room_12,1776759745.223,1776759745.224,1776759745.227,3.779,1.54,2.236,room_alerts_mp
1776759746.228,room_13,1776759746.224,1776759746.226,1776759746.228,3.636,1.64,1.991,room_alerts_mp
1776759747.228,room_14,1776759747.225,1776759747.226,1776759747.228,3.515,1.74,1.77,room_alerts_mp
1776759748.231,room_15,1776759748.228,1776759748.229,1776759748.231,3.717,1.66,2.062,room_alerts_mp
1776759749.234,room_01,1776759749.23,1776759749.231,1776759749.234,4.77,1.54,3.227,room_alerts_mp
1776759750.234,room_02,1776759750.23,1776759750.232,1776759750.234,3.846,1.77,2.073,room_alerts_mp
1776759751.236,room_03,1776759751.232,1776759751.234,1776759751.236,4.523,2.45,2.069,room_alerts_mp
1776759752.237,room_04,1776759752.234,1776759752.236,1776759752.237,3.847,1.88,1.97,room_alerts_mp
1776759753.242,room_05,1776759753.236,1776759753.24,1776759753.242,6.019,4.48,1.544,room_alerts_mp
1776759754.243,room_06,1776759754.237,1776759754.241,1776759754.243,6.22,3.8,2.421,room_alerts_mp
1776759755.25,room_07,1776759755.241,1776759755.247,1776759755.25,9.157,6.11,3.044,room_alerts_mp
1776759756.256,room_08,1776759756.243,1776759756.245,1776759756.256,13.417,2.52,10.896,room_alerts_mp
